"0","efficiencyModelWtC <- lm("
"0","  mpg ~ wt_C,"
"0","  data = mtcars_2"
"0",")"
"0",""
"0","lmSummary(efficiencyModelWtC)"
"1","
Call:
"
"1",""
"1","lm(formula = mpg ~ wt_C, data = mtcars_2)"
"1",""
"1","

"
"1",""
"1","Residuals:
"
"1","    Min "
"1","     1Q "
"1"," Median "
"1","     3Q "
"1","    Max "
"1","
"
"1","-4.5432 "
"1","-2.3647 "
"1","-0.1252 "
"1"," 1.4096 "
"1"," 6.8727 "
"1","
"
"1","
Coefficients:
"
"1","           "
"1","  Estimate"
"1"," Std. Error"
"1","   t value"
"1","   f value"
"1","   R^2"
"1","
(Intercept)"
"1","   20.0906"
"1","     0.5384"
"1","   37.3126"
"1"," 1392.2290"
"1"," 0.979"
"1","
wt_C       "
"1","   -5.3445"
"1","     0.5591"
"1","   -9.5590"
"1","   91.3753"
"1"," 0.753"
"1","
"
"1","           "
"1"," Pr(>|t|)"
"1","    "
"1","
(Intercept)"
"1","  < 2e-16"
"1"," ***"
"1","
wt_C       "
"1"," 1.29e-10"
"1"," ***"
"1","
"
"1","---
Signif. codes:  "
"1",""
"1","0 ‘***’ 0.001 ‘**’ 0.01 ‘*’ 0.05 ‘.’ 0.1 ‘ ’ 1"
"1","
"
"1","
Residual standard error:"
"1"," "
"1","3.046"
"1"," "
"1","on"
"1"," "
"1","30"
"1"," "
"1","degrees of freedom"
"1","
"
"1","Multiple R-squared: "
"1"," "
"1","0.7528"
"1",",	Adjusted R-squared: "
"1"," "
"1","0.7446"
"1"," "
"1","
F-statistic:"
"1"," "
"1","91.38"
"1"," "
"1","on"
"1"," "
"1","1"
"1"," "
"1","and"
"1"," "
"1","30"
"1"," "
"1","DF,  p-value:"
"1"," "
"1","1.294e-10"
"1","
"
"1","
"
